price,sqm,rooms,age,balcony,lift,parking
950000,99,3.5,0,true,true,true
1450000,91,3.5,1,true,true,true
1350000,98,3.5,1,true,true,true
495000,82,2.5,1,false,false,false
3900000,224,5.5,1,true,true,true
2000000,112,3.5,1,true,true,true
1500000,86,3.5,0,true,true,true
1300000,86,3.5,0,true,true,true
2380000,140,4.5,2,true,true,true
785000,66,3.5,1,true,true,true
820000,71,3.5,2,true,true,true
845000,81,3.5,1,true,true,true
980000,122,3.5,0,true,true,true
175000,30,1.0,2,true,true,true
1040000,110,4.5,-1,true,true,true
565000,65,2.5,-1,true,true,false
385000,60,2.5,5,false,false,false
695000,83,3.5,15,true,true,false
275000,50,2.5,46,false,false,false
205000,31,1.5,38,true,true,true
880000,118,4.5,31,true,true,true
475000,85,3.5,18,true,true,true
790000,105,3.5,3,true,true,false
1190000,116,3.5,2,false,true,false
1490000,143,4.5,0,true,true,false
1290000,134,4.5,0,true,true,false
120000,122,6.5,163,true,false,false
1590000,159,5.5,2,false,true,false
1590000,159,5.5,2,false,true,false
1190000,116,3.5,2,false,true,false
650000,86,4.0,44,false,true,false
1720000,153,4.5,1,true,true,false
1380000,173,5.5,1,false,false,true
880000,118,4.5,31,true,true,true
1330000,160,5.5,13,true,true,true
1330000,160,5.5,13,true,true,true
1390000,118,4.5,13,true,true,true
1390000,118,4.5,13,true,true,true
536000,119,4.5,1,true,true,true
145000,26,1.0,46,true,false,false
1870000,140,4.5,9,true,false,true
495000,110,4.5,33,true,false,false
790000,128,4.5,8,true,true,true
755000,135,4.5,2,true,true,true
665000,120,3.5,2,true,true,true
895000,121,4.5,8,true,false,false
420000,110,4.5,17,false,false,false
745000,115,3.5,1,false,false,false
420000,110,4.5,17,false,false,false
510000,102,4.5,1,false,false,false
510000,102,4.5,1,false,false,false
690000,113,4.5,15,true,true,false
1072000,123,4.5,-1,true,false,false
1100000,140,6.0,43,true,true,true
565000,90,4.5,30,false,false,false
898000,130,5.5,8,true,true,false
615000,142,5.5,0,true,true,false
740000,105,3.5,0,true,true,true
510000,74,2.5,0,true,true,true
655000,168,4.5,0,true,true,true
1240000,100,4.5,1,true,true,true
650000,129,3.5,28,true,true,false
790000,119,4.5,1,true,true,true
495000,88,4.5,50,false,false,false
1280000,137,4.0,3,false,true,false
